time_period,time_identifier,geographic_level,country_code,country_name,version,sex,disadvantage,ethnicity_minor,sen,number_of_students_potential,number_of_students_level3,number_of_students_alev,number_of_students_acad,number_of_students_agen,number_of_students_tlev,aps_per_entry_alev,aps_per_entry_grade_alev,aps_per_entry_acad,aps_per_entry_grade_acad,aps_per_entry_agen,aps_per_entry_grade_agen,aps_per_entry_tlev,aps_per_entry_grade_tlev,pc_achieving_atleast_two_substantial_lev3,pc_achieving_atleast_two_alev,pc_achieving_atleast_two_substantial_lev3_acad,entered_for_one_or_more_alev_or_applied,aps_per_entry_best3,aps_per_entry_grade_best3,pc_achieving_3_astar_to_a_alev,pc_achieving_aab_or_better_alev,entered_for_one_or_more_alev,pc_achieving_aab_or_better_atleast_two_facilitating_alev,entered_any_level3_vocational_excluding_applied_generals,pc_level3_vocational_students_entered_tech_levels,entered_any_level3_vocational_excluding_tech_levels,pc_level3_vocational_students_entered_applied_generals,number_of_students_highest_entry_was_l2,pc_level2_vocational_students_entered_technicalcertificate,number_of_students_technicalcertificate,aps_per_entry_technicalcertificate,aps_per_entry_grade_technicalcertificate
202425,Academic year,National,E92000001,England,Provisional,All,All,All,All,585236,344644,261447,266659,132817,24659,34.9873,C+,35.0625,B-,29.8896,Merit+,28.8247,Merit+,91.088,85.33,84.346,191596,35.744,B-,14.88,24.256,191596,17.51,95022,25.972,199955,67.216,75991,10.101,8901,5.6034,L2Merit-
202324,Academic year,National,E92000001,England,Revised,All,All,All,All,569130,353805,262421,267709,128634,27170,34.3762,C+,34.4448,C+,29.091,Merit+,28.1112,Merit+,90.09,85.289,84.269,194374,35.0815,B-,14.525,23.405,194374,17.077,92621,29.341,191521,68.025,67984,10.63,8487,5.6294,L2Merit-
202223,Academic year,National,E92000001,England,Revised,All,All,All,All,553804,334553,255992,260751,120950,27869,34.1598,C+,34.2608,C+,29.5184,Merit+,28.4961,Merit+,92.679,86.042,85.12,191294,34.6807,C+,13.65,22.456,191294,15.808,87223,31.961,178698,68.662,39201,9.145,3844,5.6763,L2Merit-
202122,Academic year,National,E92000001,England,Revised,All,All,All,All,549352,329854,249723,253807,117666,28350,37.8621,B-,37.9247,B-,31.9117,Dist-,30.5439,Dist-,95.985,87.482,86.795,187604,38.2523,B-,20.346,31.386,187604,20.745,83308,34.039,169607,69.438,16038,8.53,1401,5.8766,L2Merit
202021,Academic year,National,E92000001,England,Final,All,All,All,All,450497,293115,236927,242207,87850,20807,40.4587,B,40.4994,B,32.6349,Dist-,31.6543,Dist-,92.254,87.832,86.68,185230,40.2304,B,25.277,37.587,185230,25.546,101289,20.553,163601,54.355,32195,9.374,3347,5.6355,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,Female,All,All,All,290158,186076,143837,146258,72079,11149,35.4677,B-,35.5871,B-,31.0174,Dist-,28.5681,Merit+,91.742,85.659,84.899,103911,36.2114,B-,13.835,23.873,103911,15.517,47727,23.373,106103,68.096,33070,8.171,3429,5.6191,L2Merit-
202324,Academic year,National,E92000001,England,Revised,Female,All,All,All,283090,190102,144166,146620,69309,12981,35.035,B-,35.1482,B-,30.3575,Dist-,27.9691,Merit+,90.883,85.659,84.911,105363,35.7224,B-,13.86,23.484,105363,15.616,46511,27.92,100747,68.992,28898,9.873,3584,5.6693,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Female,All,All,All,273908,179958,140912,143035,64730,12333,34.7939,C+,34.9363,C+,30.7408,Dist-,28.525,Merit+,93.601,86.66,86.029,104425,35.2973,B-,12.948,22.433,104425,14.285,41794,29.509,92469,70.178,14138,8.325,1325,5.67,L2Merit-
202122,Academic year,National,E92000001,England,Revised,Female,All,All,All,274031,180229,139047,141026,64322,13156,38.5856,B,38.6742,B,33.1669,Dist-,30.6152,Dist-,96.671,87.876,87.371,103632,38.9572,B,20.206,32.284,103632,19.149,39628,33.201,89138,72.185,5696,9.551,560,5.9421,L2Merit
202021,Academic year,National,E92000001,England,Final,Female,All,All,All,231146,162183,132601,135053,47857,10774,41.4497,B,41.5172,B,34.4045,Dist,32.0444,Dist-,92.893,88.245,87.428,103106,41.1922,B,26.163,39.723,103106,24.517,49980,21.561,83954,57.206,14696,10.724,1766,5.7057,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,Male,All,All,All,294185,158565,117608,120399,60735,13510,34.4132,C+,34.4333,C+,28.614,Merit+,29.0637,Merit+,90.323,84.93,83.676,87685,35.19,B-,16.119,24.71,87685,19.871,47282,28.603,93836,66.229,42705,11.647,5472,5.5934,L2Merit-
202324,Academic year,National,E92000001,England,Revised,Male,All,All,All,285826,163699,118252,121086,59324,14189,33.5901,C+,33.6024,C+,27.6927,Merit+,28.2572,Merit+,89.17,84.838,83.494,89011,34.3229,C+,15.313,23.313,89011,18.806,46106,30.777,90769,66.955,39044,11.195,4899,5.5989,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Male,All,All,All,279866,154592,115079,117713,56219,15536,33.3942,C+,33.4434,C+,28.1758,Merit+,28.47,Merit+,91.605,85.284,84.016,86869,33.9394,C+,14.493,22.483,86869,17.639,45428,34.217,86227,67.037,25056,9.61,2519,5.6797,L2Merit-
202122,Academic year,National,E92000001,England,Revised,Male,All,All,All,275271,149624,110676,112780,53344,15194,36.9659,B-,36.9933,B-,30.4349,Dist-,30.4723,Dist-,95.159,86.987,86.075,83972,37.3823,B-,20.519,30.277,83972,22.716,43673,34.804,80462,66.402,10334,7.945,838,5.8291,L2Merit-
202021,Academic year,National,E92000001,England,Final,Male,All,All,All,219304,130932,104326,107154,39993,10033,39.2162,B,39.2192,B,30.5874,Dist-,31.1751,Dist-,91.461,87.306,85.738,82124,39.023,B,24.165,34.905,82124,26.837,51308,19.572,79646,51.351,17484,8.236,1579,5.5514,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,All,Disadvantaged,All,All,132743,55722,35119,35997,28218,5313,30.9934,C,31.0044,C,28.2522,Merit+,26.4828,Merit,85.595,78.721,77.276,23180,31.6618,C,8.261,14.763,23180,10.198,22029,24.132,44242,64.502,25618,9.165,2741,5.5354,L2Merit-
202324,Academic year,National,E92000001,England,Revised,All,Disadvantaged,All,All,132536,60231,36900,37815,28717,6332,30.1465,C,30.1448,C,27.2879,Merit+,25.8093,Merit,84.322,78.528,77.073,24521,30.8201,C,7.92,13.845,24521,9.942,22328,28.368,44072,65.876,23653,9.715,2661,5.4832,L2Pass+
202223,Academic year,National,E92000001,England,Revised,All,Disadvantaged,All,All,129611,56988,36459,37346,27201,6470,29.9113,C,29.9593,C,27.6975,Merit+,26.3793,Merit,88.147,79.179,77.743,24585,30.2838,C,7.191,13.211,24585,8.973,20797,31.11,41162,66.902,13557,9.228,1316,5.5813,L2Merit-
202122,Academic year,National,E92000001,England,Revised,All,Disadvantaged,All,All,129547,56764,35591,36303,27007,6530,33.462,C+,33.4916,C+,29.9692,Merit+,27.9851,Merit+,93.327,81.495,80.368,24181,33.6909,C+,11.215,19.478,24181,12.266,19518,33.456,39404,68.589,5371,8.304,454,5.7292,L2Merit-
202021,Academic year,National,E92000001,England,Final,All,Disadvantaged,All,All,95590,48166,34098,35033,19411,4639,36.5763,B-,36.5747,B-,30.6807,Dist-,29.1383,Merit+,88.531,82.556,80.815,24469,36.1621,B-,15.82,25.788,24469,16.829,22450,20.682,36125,54.322,9982,8.545,950,5.4314,L2Pass+
202425,Academic year,National,E92000001,England,Provisional,Female,Disadvantaged,All,All,66661,31503,20420,20794,16088,2558,31.4873,C,31.5348,C,29.1808,Merit+,25.6842,Merit,86.754,79.07,78.051,13150,32.1914,C+,7.202,13.772,13150,8.357,11350,22.546,24325,66.356,11942,7.511,1141,5.5305,L2Merit-
